,message,airline_code,number_of_fellow_passengers,did_receive_compensation,total_compensation_amount
0,"Hi, I am the feedback message",3,10,1,7842.0
1,"Hi, I am the feedback message",4,4,0,
2,"Hi, I am the feedback message",0,16,1,9047.0
3,"Hi, I am the feedback message",0,17,0,
4,"Hi, I am the feedback message",0,5,1,7219.0
5,"Hi, I am the feedback message",5,5,1,2972.0
6,"Hi, I am the feedback message",3,11,0,
7,"Hi, I am the feedback message",3,11,1,8714.0
8,"Hi, I am the feedback message",4,10,1,4715.0
9,"Hi, I am the feedback message",2,10,0,
